algorithm_alias,property,0.0,0.05,0.1,0.25,0.5,0.75,0.9,0.95,1.0
FNP-NN * 10,sol_time,64.0,162.9,256.2,434.25,1075.0,4206.5,6000.0,6000.0,6000.0
GNN * 100,sol_time,4.0,13.95,19.8,34.25,96.5,706.25,4732.800000000012,6000.0,6000.0
Retro* PT,sol_time,46.0,203.9,259.2,522.25,1441.5,4701.75,6000.0,6000.0,6000.0
Tanimoto,sol_time,103.0,234.15,281.90000000000003,476.5,1347.0,6000.0,6000.0,6000.0,6000.0
Tanimoto * 100,sol_time,8.0,23.8,27.0,55.0,169.5,1019.75,6000.0,6000.0,6000.0
constant-0,sol_time,114.0,243.75,296.6,441.5,1279.0,6000.0,6000.0,6000.0,6000.0
