smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
COc1c(N2CCN(C(=O)COC(C)=O)CC2)cc(Br)cc1C(C)(C)C,13,inf,inf,8.688297550071777,inf,3.0,6,61
C=CC(OCOC)c1ccc(N(c2cc3oc(-c4ccc(F)cc4)c(C(=O)NC)c3cc2C2CC2)S(C)(=O)=O)cc1Cl,7,3,3.2718262243978438,2.1953135531630257,3.0,1.0,4,50
O=C(NCCc1ccc(Cl)cc1C1CC1)c1ccc(Oc2cc3c(cc2Cl)C(C(=O)O)CCO3)cc1,116,23,12.3433859891461,1.43407541331509,5.0,3.0,25,300
N#Cc1ccccc1-c1cc(F)cc(-c2ccnc3nc(C(F)(F)F)ccc23)c1,5,3,1.7417031641485279,1.3948825530747084,3.0,1.0,3,54
Cc1cccc2c(Cl)ncc(C(=O)NCC3CCOCC3)c12,15,inf,inf,3.9726128451029963,inf,3.0,6,52
CN(C)Cc1cc(C(C)(C)C)cc(Cl)n1,21,inf,inf,3.3185449382227272,inf,3.0,7,89
COC(=O)c1cc(N=Nc2ccc(OCCCCCCCCN=[N+]=[N-])cc2)ccc1O,23,inf,inf,3.0440706075520167,inf,3.0,10,120
