smiles,n_iter,first_soln_time,lowest_cost_route_found,lowest_cost_route_(binned),best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree,is_purchasable,constant-0,Tanimoto-distance,Tanimoto-distance-TIMES10,Tanimoto-distance-EXP,Tanimoto-distance-SQRT,Tanimoto-distance-NUM_NEIGHBORS_TO_1,Tanimoto-distance-NUM_NEIGHBORS_TO_1_TIMES1000
Oc1ccc(-c2cc(-c3ccccc3O)nc(-c3ccccc3O)c2)cc1,327,38.0,7.077593611394514,007-009,4.5131723571166,5.0,1.0,52,12765,0.0,0.0,0.6727272727272727,6.7272727272727275,0.9595743332194951,0.8201995322647244,0.0002251407129455,0.225140712945591
CCOC(=O)C1C(C(=O)OCC)C12C(=O)Nc1ccc(F)cc12,270,73.0,14.71501775025232,014-016,9.599261213260151,3.0,2.0,74,5318,0.0,0.0,0.7391304347826086,7.391304347826086,1.094113754057613,0.8597269536210951,0.0002251407129455,0.225140712945591
CCCN(CCC)c1nc(-c2ccccc2F)nc2ccccc12,3,1.0,1.5974689390213928,001-003,1.5974689390213928,1.0,1.0,2,52,0.0,0.0,0.5892857142857143,5.892857142857143,0.8027003123355756,0.7676494735787385,0.0001500938086303,0.150093808630394
O=C(NN=Cc1cccc(NC(=O)c2ccc(Cl)cc2)c1)c1ccc(O)cc1,9,3.0,2.370550231423832,001-003,2.370550231423832,3.0,1.0,4,220,0.0,0.0,0.65625,6.5625,0.9275504501675448,0.8100925873009825,0.0002251407129455,0.225140712945591
COc1ccc(OC)c(C=C2C(=O)NC(=NC(C)=O)N2C)c1,64184,-1.0,-1.0,NotSolved,21.04285428503223,-1.0,4.0,1000,664059,0.0,0.0,0.6,6.0,0.8221188003905089,0.7745966692414834,0.0001500938086303,0.150093808630394
CCOP(=O)(NC(C)C)Oc1ccc(S(C)(=O)=O)c(C)c1,22403,-1.0,-1.0,NotSolved,17.840211747931733,-1.0,3.0,1000,261264,0.0,0.0,0.7021276595744681,7.0212765957446805,1.0180418489976,0.8379305815963922,0.0002251407129455,0.225140712945591
C=CC1(C)CC(OC(=O)N2CCc3cc(OC)ccc3C2=O)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,10533,-1.0,-1.0,NotSolved,14.353159602255856,-1.0,3.0,1000,113994,0.0,0.0,0.7701863354037267,7.701863354037267,1.1601687321985938,0.8776026067667112,0.0003001876172607,0.300187617260788
O=c1c2cnn(Cc3ccccc3)c2ncn1N=Cc1ccc2c(c1)OCO2,172,6.0,14.923613193769654,014-016,9.625131881271727,4.0,2.0,23,1253,0.0,0.0,0.6962025316455696,6.962025316455696,1.006120046856179,0.8343875188697213,0.0002251407129455,0.225140712945591
CP(=O)(O)C1(O)CC(N)C1,13146,-1.0,-1.0,NotSolved,11.720024985158089,-1.0,2.0,1000,143478,0.0,0.0,0.6875,6.875,0.988737469582292,0.82915619758885,0.0003001876172607,0.300187617260788
Cc1ccc(NC(=O)c2cnon2)cc1,39599,-1.0,-1.0,NotSolved,18.04039701201721,-1.0,4.0,1000,344199,0.0,0.0,0.6271186440677966,6.271186440677966,0.8722083015634332,0.7919082295744858,0.0001500938086303,0.150093808630394
