Epoch,TrainLoss
0,0.4773565340230399
1,0.13137342946287583
2,0.09128614906797357
3,0.07957224004488127
4,0.07680665166927168
5,0.06239070216966118
6,0.052160328793325904
7,0.05143757831522027
8,0.04272011225885163
9,0.04718066742431945
10,0.03790405454826898
11,0.03505113212874957
12,0.03364610065901457
13,0.03263526554604665
14,0.02726224132396433
15,0.029581452817128668
16,0.022194646939385484
17,0.020614710589130485
18,0.022940651013984598
19,0.017129023180709038
20,0.019836832093591703
21,0.02399982283351705
22,0.019455466908709928
23,0.020185582326509192
24,0.017640896200818355
25,0.017370952245235063
26,0.016137142653656945
27,0.01587850530459328
28,0.013721900940674315
29,0.012179546144518702
30,0.01280281848077038
31,0.012671510473170423
32,0.012134147989018795
33,0.014461317712391395
34,0.01471905294655248
35,0.0133485576693558
36,0.012620082683441575
37,0.014619628182169104
38,0.012697744752722954
39,0.015045450370235186
40,0.012734999311489272
41,0.011178109698456149
42,0.012278644656586284
43,0.010499636332528048
44,0.012208981409711104
45,0.01077081812962171
46,0.008933889424532484
47,0.008185158403347185
48,0.009937783759974212
49,0.01066064416740406
50,0.0088031640860542
51,0.00832199844593672
52,0.008036210596136562
53,0.007100490944184268
54,0.006802987576954444
55,0.007741520187175543
56,0.007670377024707351
57,0.007274139405866132
58,0.006749188618797372
59,0.006652032560895218
60,0.005176738004267643
61,0.007282137500912469
62,0.006633045881070764
63,0.006610496071761291
64,0.007934187023134219
65,0.006281380918718218
66,0.0070388804809905035
67,0.007885467276265943
68,0.007812237090836323
69,0.006890298138142237
70,0.006051464956377319
71,0.004896540640705386
72,0.004491943970872859
73,0.004379402147176712
74,0.003928434434203
75,0.00467245657331199
76,0.004682015326465538
77,0.005266901764349967
78,0.005444852823595441
79,0.005684691104539341
80,0.0061484435609214265
81,0.005798078019149588
82,0.005076735453052679
83,0.005053548083748136
84,0.0043579511192539605
85,0.004207247459148043
86,0.004003379304709198
87,0.003576173096494931
88,0.004224870921849017
89,0.004166595489788575
90,0.0052477152916136985
91,0.004611412216284757
92,0.0044452058115504196
93,0.003124659084399805
94,0.0033375230870329475
95,0.0038845618623119227
96,0.003499185406572767
97,0.0036728694512543503
98,0.0045155277892439056
99,0.004037730156061769
