target_index_in_batch,pos_value_sum,cost_pos_react,pos_value_plus_cost,pos_value_plus_cost_div_temp,index_neg_for_target,neg_value_sum,cost_neg_react,neg_value_plus_cost,neg_value_plus_cost_div_temp,exp_minus_pos_value_plus_cost_div_temp,exp_minus_neg_value_plus_cost_div_temp
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,0,1.6716690320167382,1.6712002506309198,3.342869282647658,0.3342869282647658,0.7939905962959233,0.7158483556307529
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,1,1.9422676846570361,1.9413875327899828,3.8836552174470187,0.38836552174470185,0.7939905962959233,0.6781644141152748
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,2,2.662276365069862,2.659468031940285,5.321744397010147,0.5321744397010147,0.7939905962959233,0.5873264741735109
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,3,3.1488674230856284,3.1456570447178445,6.294524467803473,0.6294524467803473,0.7939905962959233,0.5328835032162531
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,4,3.2148726566358836,3.2126842506509106,6.427556907286794,0.6427556907286794,0.7939905962959233,0.5258413694459155
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,5,3.676788131388491,3.6748314141731657,7.351619545561657,0.7351619545561656,0.7939905962959233,0.4794278071693084
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,6,4.073618877092753,4.069735008519088,8.143353885611841,0.8143353885611841,0.7939905962959233,0.4429336083019927
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,7,4.145536673023886,4.144656521156833,8.29019319418072,0.8290193194180719,0.7939905962959233,0.43647712113975534
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,8,4.524052180535116,4.521992673003043,9.04604485353816,0.904604485353816,0.7939905962959233,0.4047019189893587
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,9,4.713999986823341,4.711384200298438,9.425384187121779,0.9425384187121779,0.7939905962959233,0.38963751580635664
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,10,4.768807031769855,4.766041649299269,9.534848681069125,0.9534848681069125,0.7939905962959233,0.3853956276213196
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,11,4.837817397761043,4.834884523390131,9.672701921151173,0.9672701921151173,0.7939905962959233,0.3801192756911169
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,12,5.011767605589721,5.008317567691343,10.020085173281064,1.0020085173281064,0.7939905962959233,0.36714129048157146
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,13,5.3208154901061055,5.3176804186719995,10.638495908778104,1.0638495908778105,0.7939905962959233,0.345124661037031
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,14,5.336777323707949,5.3340425648185645,10.670819888526513,1.0670819888526513,0.7939905962959233,0.34401088184020445
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,15,5.575719265879444,5.5738939379170445,11.149613203796488,1.1149613203796487,0.7939905962959233,0.3279279627833861
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,16,5.993387649122074,5.989935389962075,11.983323039084148,1.1983323039084148,0.7939905962959233,0.30169693139736237
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,17,6.028347912254952,6.027467760387898,12.05581567264285,1.2055815672642851,0.7939905962959233,0.2995177591281243
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,18,6.126228541707658,6.123005738425385,12.249234280133042,1.2249234280133041,0.7939905962959233,0.293780194795466
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,19,6.657432365963524,6.653761011080542,13.311193377044066,1.3311193377044066,0.7939905962959233,0.2641813875515061
0,2.220446049250313e-16,2.306836612611516,2.306836612611516,0.23068366126115158,20,6.77947261805814,6.778592466191086,13.558065084249225,1.3558065084249225,0.7939905962959233,0.25773934165477774
1,0.00431990345798039,0.5815727246234765,0.5858926280814569,0.05858926280814569,0,2.1771648881393326,2.1692622023881762,4.346427090527509,0.43464270905275093,0.9430940534187857,0.6474959702028514
1,0.00431990345798039,0.5815727246234765,0.5858926280814569,0.05858926280814569,1,4.128535582374866,4.122168710967722,8.250704293342588,0.8250704293342588,0.9430940534187857,0.43820412895304206
1,0.00431990345798039,0.5815727246234765,0.5858926280814569,0.05858926280814569,2,4.181231284180479,4.172866128515756,8.354097412696234,0.8354097412696234,0.9430940534187857,0.433696741568277
1,0.00431990345798039,0.5815727246234765,0.5858926280814569,0.05858926280814569,3,4.603978880591768,4.595924166593905,9.199903047185673,0.9199903047185674,0.9430940534187857,0.3985229048575039
1,0.00431990345798039,0.5815727246234765,0.5858926280814569,0.05858926280814569,4,5.137599589447527,5.1322956850819565,10.269895274529484,1.0269895274529484,0.9430940534187857,0.35808333961490063
1,0.00431990345798039,0.5815727246234765,0.5858926280814569,0.05858926280814569,5,5.436317710516191,5.429963726388534,10.866281436904725,1.0866281436904726,0.9430940534187857,0.33735208085483753
1,0.00431990345798039,0.5815727246234765,0.5858926280814569,0.05858926280814569,6,5.454351746280299,5.449972261059635,10.904324007339934,1.0904324007339934,0.9430940534187857,0.3360711448748093
