smiles,n_iter,first_soln_time,lowest_cost_route_found,lowest_cost_route_(binned),best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree,is_purchasable,constant-0,Tanimoto-distance,Tanimoto-distance-TIMES10,Tanimoto-distance-EXP,Tanimoto-distance-SQRT,Tanimoto-distance-NUM_NEIGHBORS_TO_1,Tanimoto-distance-NUM_NEIGHBORS_TO_1_TIMES1000
COc1ccc(F)c(-c2ccc(COc3cc(C(CC(=O)O)C4CC4)ccc3F)nc2CC(C)(C)C)c1,9999,-1.0,-1.0,NotSolved,11.65480231264761,-1.0,2.0,382,72602,0.0,0.0,0.6418918918918919,6.418918918918919,0.9000722122392748,0.8011815598800885,0.000225140712945591,0.225140712945591
CCc1cc2nncc(N3CCc4[nH]nc(C(=O)NC5CC5)c4C3)c2cc1OC,296,61.0,10.256999777204124,009-011,9.335631608514705,6.0,2.0,61,4129,0.0,0.0,0.6776859504132231,6.776859504132231,0.9693153620910908,0.8232168307397651,0.000300187617260788,0.300187617260788
Clc1ccc(-n2cncn2)c(Cc2nc3c(NCCC4CCCCN4)nccc3o2)c1,9999,357.0,29.26021333940834,029-031,16.640865494658335,10.0,2.0,668,69684,0.0,0.0,0.7481481481481482,7.481481481481483,1.1130832739444467,0.8649555758234918,0.000300187617260788,0.300187617260788
CCOCc1nc2c(N)nc3ccc(O)cc3c2n1CC(C)(C)NS(C)(=O)=O,11,6.0,2.44789765717986,001-003,2.0315293248430963,6.0,1.0,6,287,0.0,0.0,0.6984126984126984,6.984126984126984,1.0105588101112422,0.8357108940373449,0.000225140712945591,0.225140712945591
O=C(O)CCNC(=O)c1nc(-c2ccncc2)c2c(cc(-c3ccccc3)c(=O)n2CC2CCCCC2)c1O,15,5.0,0.8760742747386606,000-001,0.8760742747386606,5.0,1.0,8,341,0.0,0.0,0.7317073170731707,7.317073170731707,1.078626454304731,0.8553989227683015,0.000225140712945591,0.225140712945591
CC(C)CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,23,7.0,3.018194358905376,003-004,2.22099271050974,6.0,1.0,8,290,0.0,0.0,0.6826923076923077,6.826923076923077,0.9791991787038596,0.8262519638054168,0.000225140712945591,0.225140712945591
CCc1cc2c(Br)cnnc2cc1OC,17,8.0,4.1043913354212,004-006,3.586786769489331,5.0,1.0,8,496,0.0,0.0,0.7014925373134329,7.014925373134329,1.016760552628595,0.8375515132297433,0.000225140712945591,0.225140712945591
CN(CCCOc1ccc(-c2cc3c(ncn3C)c(C#N)n2)cc1C(F)(F)F)C(=O)C1CCCCN1C,488,33.0,7.06151959467157,006-008,6.795936843300891,7.0,1.0,67,8894,0.0,0.0,0.7361963190184049,7.361963190184049,1.0879783872197075,0.8580188337201025,0.000300187617260788,0.300187617260788
CCCCCNc1nc(N)nc(C)c1Cc1ccc(CC(=O)OCCN(C)C)cc1,159,24.0,8.892421045733922,008-009,7.524655726173005,5.0,1.0,32,4599,0.0,0.0,0.676056338028169,6.76056338028169,0.9661087548600107,0.822226451793038,0.000225140712945591,0.225140712945591
CCOC(=O)C1(c2ccc(-c3ccc(-c4onc(C)c4CCOCc4ccncc4)cc3)cc2)CC1,56,10.0,4.916654280868409,004-006,3.405911453294803,5.0,1.0,10,959,0.0,0.0,0.542483660130719,5.42483660130719,0.7202741370491499,0.7365349008232529,0.000150093808630394,0.150093808630394
CCOc1cn(-c2cccc(C(F)(F)F)c2)nc(-c2ccnn2-c2ccccc2)c1=O,31,12.0,3.618753160582187,003-004,3.521207064309356,7.0,1.0,12,852,0.0,0.0,0.6917293233082706,6.917293233082706,0.9971662948660585,0.8317026652045012,0.000225140712945591,0.225140712945591
COc1cc(N)c(Cl)cc1C(=O)NCCCC1CN(Cc2ccccc2)CCO1,183,32.0,8.166857531511125,008-009,5.7444542167606985,5.0,1.0,63,4479,0.0,0.0,0.5619834710743802,5.619834710743802,0.7541483545497902,0.7496555682941201,0.000150093808630394,0.150093808630394
CCC(=O)NC1CCCc2c(-c3cc(Cl)c4c(c3)CCC(=O)N4C)cncc21,2168,37.0,13.945430265546758,013-014,9.499258379008037,7.0,2.0,64,8935,0.0,0.0,0.794701986754967,7.9470198675496695,1.2137811623812649,0.8914605918126538,0.000375234521575985,0.37523452157598497
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(C2CC2)cc1F,7582,-1.0,-1.0,NotSolved,20.58769200096695,-1.0,3.0,1000,101989,0.0,0.0,0.75,7.5,1.1170000166126743,0.8660254037844386,0.000300187617260788,0.300187617260788
c1ccc(-c2cc3cc(-c4ccncn4)c(-c4ccco4)nc3[nH]2)cc1,383,88.0,8.306310156372161,008-009,7.034253154051088,8.0,2.0,88,8999,0.0,0.0,0.6148148148148148,6.148148148148148,0.8493141022720994,0.7841012784167711,0.000150093808630394,0.150093808630394
CCCCc1nc2c(N)nc3ccccc3c2n1CCCN(Cc1ccc(CC(=O)OC)cc1)C(=O)CS(C)(=O)=O,25,9.0,3.225189045592943,003-004,2.986495167267525,8.0,1.0,10,546,0.0,0.0,0.5337423312883436,5.337423312883436,0.7053021878187873,0.7305767114330592,0.000150093808630394,0.150093808630394
CCC1Cc2cc(OCC(C)C)c(OC)cc2-c2cc(=O)c(C(=O)O)cn21,738,75.0,9.846142064078284,009-011,4.027871412161849,8.0,1.0,112,14227,0.0,0.0,0.7246376811594203,7.246376811594203,1.0639831444955998,0.8512565307587486,0.000300187617260788,0.300187617260788
